ID;character_name;build_name;artifact_set_1_label;artifact_set_1;artifact_set_2;artifact_set_3_label;artifact_set_3;artifact_set_4;artifact_set_5_label;artifact_set_5;artifact_set_6;artifact_set_7_label;artifact_set_7;artifact_set_8;artifact_set_9_label;artifact_set_9;artifact_set_10;sands_1;sands_2;sands_3;goblet_1;goblet_2;circlet_1;circlet_2;circlet_3;substats_1;substats_2;substats_3;substats_4;substats_5;flatstats_1;flatstats_2;er_min;er_max;note
13;Arlecchino;Pyro Main DPS;Recommended Set;Fragment of Harmonic Whimsy;;Second Choice;Gladiator's Finale;;For Burning;Unfinished Reverie;;;;;;;;ATK%;EM (Vape/Melt);;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;EM (Vape/Melt);;;Flat ATK;;100;140;Add EM when playing Vaporize. Whimsy > Gladiator, but if you have great pieces, the latter can be valid. Reverie only works in burn teams but there can be as good as whimsy (and can be farmed together). Only build ER if you are playing her without a shielder and therefore require healing.
14;Baizhu;Healer/Support;Recommended Set;Deepwood Memories;;Non-Dendro Parties;Ocean-Hued Clam;;For EM Buffs;Instructor;;For ATK Buffs;Noblesse Oblige;;;;;HP%;Energy Recharge;;HP%;;HP%;Healing Bonus;;Energy Recharge;HP%;Flat HP;CRIT Rate (Favonius);;;;170;230;Many Dendro DPSs rely on having one party member wear Deepwood while not wanting to equip it themselves. Baizhu can be that party member. This is not for Baizhus own damage, cause it is neglible. HP circlet over healing bonus because it is more important to reach 50,000 HP
15;Barbara;Healer;Recommended Set;Ocean-Hued Clam;;For DMG Buffs;Scroll of the Hero of Cinder City;;Third Choice;Song of Days Past;;Fourth Choice;Maiden Beloved;;;;;HP%;;;HP%;;Healing Bonus;HP%;CRIT Rate (Favonius);HP%;Flat HP;Energy Recharge;CRIT Rate (Favonius);;;;100;100;
16;Barbara;Bloom DPS;Recommended Set;Flower of Paradise Lost;;Second Choice;Gilded Dreams;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;HP%;Flat HP;;;;;100;100;Niche Build
17;Beidou;Electro Sub DPS;;Emblem of Severed Fate;;;Thundersoother;;;;;;;;;;;ATK%;Energy Recharge;;Electro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;EM (Quicken);;Flat ATK;;140;200;Thundersoother requires high elector uptime and is therefore only suitable for electro-charged or aggravate. Has higher ceiling tho.
18;Beidou;Aggravate Main DPS;;Thundering Fury;;;;;;;;;;;;;;ATK%;;;Electro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;Elemental Mastery;;Flat ATK;;110;170;
19;Bennett;Support/Healer;For ATK Buffs;Noblesse Oblige;;For EM Buffs;Instructor;;For DMG Buffs;Song of Days Past;;;;;;;;Energy Recharge;HP%;;HP%;;Healing Bonus;HP%;;Energy Recharge;HP%;Flat HP;;;;;200;250;
20;Bennett;Support/DPS;Recommended Set;Noblesse Oblige;;As On-Field DPS;Crimson Witch of Flames;;;;;;;;;;;ATK%;Elemental Mastery;;Pyro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;Elemental Mastery;HP%;Flat ATK;Flat HP;200;250;
21;Candace;Support;For ATK Buffs;Noblesse Oblige;;For DMG Buffs;Scroll of the Hero of Cinder City;;;;;;;;;;;Energy Recharge;HP%;;HP%;;CRIT Rate (Favonius);HP%;;Energy Recharge;CRIT Rate (Favonius);HP%;CRIT DMG;;Flat HP;;250;300;NO is a generalist support for atk scaling, scroll buffs elemental damage based on reactions
22;Candace;Hydro Sub DPS;;Emblem of Severed Fate;;;;;;;;;;;;;;Energy Recharge;HP%;;Hydro DMG Bonus;HP%;CRIT Rate (Favonius);CRIT DMG;HP%;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;HP%;;Flat HP;;250;300;becomes more valid at C6
23;Candace;Hydro Main DPS;Recommended Set;Nymph's Dream;;Second Choice;Heart of Depth;;Second Choice;Gladiator's Finale;;;;;;;;ATK%;Energy Recharge;;Hydro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;HP%;Energy Recharge;;Flat ATK;Flat HP;180;280;
24;Charlotte;Healer/Support;;Noblesse Oblige;;;Tenacity of the Millelith;;;Song of Days Past;;;;;;;;Energy Recharge;ATK%;;ATK%;;Healing Bonus;CRIT Rate (Favonius);;Energy Recharge;CRIT Rate (Favonius);ATK%;Flat ATK;;;;180;230;Recommended build for meta, but if you are scared of dying go for the pure healer build
25;Charlotte;Healer;;Emblem of Severed Fate;Gladiator's Finale;;Ocean-Hued Clam;;;;;;;;;;;Energy Recharge;ATK%;;ATK%;;Healing Bonus;CRIT Rate (Favonius);;Energy Recharge;CRIT Rate (Favonius);ATK%;Flat ATK;;;;180;230;Putting a healing bonus in the 2pc mix is also valid
26;Charlotte;Cryo Sub DPS;;Golden Troupe;;;Blizzard Strayer;;;;;;;;;;;ATK%;Energy Recharge;;Cryo DMG Bonus;ATK%;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;160;200;Crit rate lowered if blizzard strayer and/or cryo resonance
27;Chasca;Anemo Main DPS;Recommended Set;Obsidian Codex;;;;;;;;;;;;;;ATK%;Elemental Mastery;;ATK%;;CRIT DMG;;;CRIT DMG;ATK%;Elemental Mastery;CRIT Rate;;Flat ATK;;100;100;obsidian > MH. ATK sands > EM
28;Chevreuse;Overload Support;For ATK Buffs;Noblesse Oblige;;For DMG Buffs;Scroll of the Hero of Cinder City;;DMG Buff Alternative;Song of Days Past;;;;;;;;HP%;Energy Recharge;;HP%;;HP%;Healing Bonus;;Energy Recharge;HP%;Flat HP;CRIT Rate (Favonius);;;;170;200;Song of Days past is a valid alternative when someone else on the team is already using noblesse and is best used by a C6 Chevreuse. Burst is irrelevant to her buff, so the player can choose to not include it in their rotation, when not using Noblesse
29;Chevreuse;Overload Sub DPS;Recommended Set;Emblem of Severed Fate;;Second Choice;Golden Troupe;;;;;;;;;;;ATK%;Energy Recharge;;Pyro DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;ATK%;HP%;Flat ATK;Flat HP;170;200;Emblem is the best option for Chev's personal damage, however, Golden Troupe can also work for a C4+ when she uses all 3 skill charges
30;Chiori;Geo Sub DPS;;Golden Troupe;;;Husk of Opulent Dreams;;;;;;;;;;;DEF%;;;Geo DMG Bonus;DEF%;CRIT Rate/DMG;DEF%;;CRIT Rate/DMG;DEF%;ATK%;;;Flat DEF;Flat ATK;100;100;do not run triple DEF%, husk preferable at C6
31;Chongyun;Cryo Sub DPS;For Burnmelt;Unfinished Reverie;;For Burst DMG;Emblem of Severed Fate;;For Burst DMG;Noblesse Oblige;Blizzard Strayer;For ATK Buffs;Noblesse Oblige;;;;;ATK%;EM (Melt);;Cryo DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;EM (Melt);;Flat ATK;;150;175;
32;Chongyun;Cryo Main DPS;;Blizzard Strayer;;;Blizzard Strayer;Gladiator's Finale;;;;;;;;;;ATK%;;;Cryo DMG Bonus;;CRIT DMG;CRIT Rate;;CRIT DMG;CRIT Rate;ATK%;Elemental Mastery;;Flat ATK;;125;150;
33;Citlali;Shielder/Support [Preliminary];;Scroll of the Hero of Cinder City;;;;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;CRIT Rate/DMG;ATK%;;Flat ATK;;130;180;
34;Clorinde;Electro Main DPS;Recommended Set;Fragment of Harmonic Whimsy;;In Dendro Teams;Thundering Fury;;;;;;;;;;;ATK%;Elemental Mastery;;Electro DMG Bonus;;CRIT DMG;CRIT Rate;;CRIT DMG;CRIT Rate;ATK%;Elemental Mastery;;Flat ATK;;100;100;TF deals lower damage than whimsy but the shortening of the skill cooldown may help Clorinde to sync better with her team mates in a quicken/hyperbloom team. EM is good in dendro teams. Make sure to take A4 passive into account when planning your crit values.
35;Collei;Support;Recommended Set;Deepwood Memories;;For ATK Buffs;Noblesse Oblige;;For DMG Buffs;Scroll of the Hero of Cinder City;;For EM Buffs;Instructor;;;;;Energy Recharge;ATK%;Elemental Mastery;Dendro DMG Bonus;Elemental Mastery;CRIT Rate (Favonius);CRIT DMG;Elemental Mastery;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;Elemental Mastery;ATK%;Flat ATK;;180;200;Crit/DPS stats generally safe bet for collei but depending on your party, EM might be the better way to go
36;Cyno;Electro Main DPS;Recommended Set;Thundering Fury;;With Signature Weapon;Gilded Dreams;;;;;;;;;;;Elemental Mastery;ATK%;Energy Recharge;Electro DMG Bonus;Elemental Mastery;CRIT Rate/DMG;Elemental Mastery;;Energy Recharge;CRIT Rate/DMG;Elemental Mastery;ATK%;;Flat ATK;;140;160;Gilded Dreams increases ER requirement by ~40%, EM then becomes more valuable then
37;Dehya;Pyro Main DPS;Recommended Set;Emblem of Severed Fate;;Alternative Set;Vourukasha's Glow;;With Furina;Marechaussee Hunter;;With Emilie;Unfinished Reverie;;;;;ATK%;Energy Recharge;HP% (C1);Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Energy Recharge;ATK%;HP%;EM (Vape/Melt);Flat ATK;Flat HP;165;230;HP become a relevant stat from C1 onwards, Vourokasha becomes equal or better at C4 or higher. Benny is one of her best party members and without him, the ER floor is raised to 180%
38;Dehya;Burgeon Trigger;Recommended Set;Flower of Paradise Lost;;Alternative Set;Gilded Dreams;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;HP%;Flat HP;;;;;100;100;Flower is technically the better set but by such a small margin that it does not justify farming it. 2pc options can be on par with great substats (wanderer can also be flower)
39;Dehya;Support;For ATK Buffs;Tenacity of the Millelith;;For DMG Buffs;Scroll of the Hero of Cinder City;;For EM Buffs;Instructor;;;;;;;;ATK%;HP% (C1);;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;HP%;Elemental Mastery;;Flat ATK;Flat HP;100;100;
40;Dendro Traveler;Dendro Sub DPS;Recommended Set;Deepwood Memories;;Second Choice;Gilded Dreams;;Second Choice;Emblem of Severed Fate;;;;;;;;Energy Recharge;Elemental Mastery;ATK%;Dendro DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;Elemental Mastery;ATK%;Flat ATK;;200;260;Use deepwood unless someone else has it
41;Dendro Traveler;Support;Recommended Set;Deepwood Memories;;For ATK Buffs;Noblesse Oblige;;For DMG Buffs;Scroll of the Hero of Cinder City;;For EM Buffs;Instructor;;;;;Energy Recharge;;;Dendro DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;Elemental Mastery;ATK%;;;200;260;deepwood still valid as support, however noblesse is a good allrounder
42;Diluc;Pyro Main DPS;Recommended Set;Crimson Witch of Flames;;Second Choice;Gilded Dreams;;With Furina;Marechaussee Hunter;;;;;;;;ATK%;Elemental Mastery;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Elemental Mastery;ATK%;Energy Recharge;;Flat ATK;;100;120;Witch is better than gilded but with good substats gilded can also be good and is easier to farm. Sets assume you play vape/melt
43;Diona;Healer/Shielder;For ATK Buffs;Noblesse Oblige;;Better Heals & Shields;Tenacity of the Millelith;Ocean-Hued Clam;For EM Buffs;Instructor;;;;;;;;HP%;Energy Recharge;;HP%;;HP%;Healing Bonus;CRIT Rate (Favonius);Energy Recharge;HP%;Flat HP;CRIT Rate (Favonius);;;;170;250;ER only required for noblesse, at C0 200+
44;Dori;Support/Healer;For ATK Buffs;Noblesse Oblige;;For DMG Buffs;Scroll of the Hero of Cinder City;;;;;;;;;;;Energy Recharge;HP%;;HP%;;Healing Bonus;;;Energy Recharge;CRIT Rate (Favonius);HP%;Flat HP;;;;180;260;
45;Dori;Hyperbloom Trigger;Recommended Set;Flower of Paradise Lost;;Alternative Set;Gilded Dreams;;;;;;;;;;;Elemental Mastery;Energy Recharge;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;CRIT Rate (Favonius);HP%;;Flat HP;;180;260;When playing Dori for Hyperbloom she will sometimes also trigger Aggravate/Electro-Charged damage on the side. Gilded dreams buffs all of these maximizing her damage output. FoPL is an alternative but will only focus on the hyperbloom damage.
46;Dori;C6 Aggravate DPS;Recommended Set;Thundering Fury;;Alternative Set;Gilded Dreams;;With Furina;Marechaussee Hunter;;;;;;;;Elemental Mastery;Energy Recharge;;Electro DMG Bonus;Elemental Mastery;CRIT Rate/DMG;;;CRIT Rate/DMG;Elemental Mastery;ATK%;Energy Recharge;;Flat ATK;;100;170;ER depends on playstyle, either very low or relatively high
47;Electro Traveler;Support;;Emblem of Severed Fate;;;Noblesse Oblige;;;;;;;;;;;Energy Recharge;;;Electro DMG Bonus;Elemental Mastery;CRIT Rate/DMG;Elemental Mastery;;Energy Recharge;CRIT Rate/DMG;Elemental Mastery;ATK%;;Flat ATK;;130;200;Battery = Energy Generator for others (in this case with skill), Emblem does this best while noblesse (worse) is for buffing with burst. Prioritize ER substats
48;Emilie;Burning Sub DPS;Recommended Set;Unfinished Reverie;;One Per Party;Deepwood Memories;;;;;;;;;;;ATK%;;;Dendro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;100;120;Emilie can wear Deepwood if she is paired with another dendro and no one else can wear it
49;Eula;Physical Main DPS;Recommended Set;Pale Flame;;Alternative Set;Pale Flame;Bloodstained Chivalry;With Furina;Marechaussee Hunter;;Furina's Second Choice;Vermillion Hereafter;;;;;ATK%;;;Physical DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;;;Flat ATK;;130;150;you wanna play her with an electro for superconduct .2pc combinations can outperform when very good substats, instead of another phys. DMG it is also valid to choose ATK or ER
50;Faruzan;Support;For ATK Buffs;Noblesse Oblige;;For RES Shred;Viridescent Venerer;;;;;;;;;;;Energy Recharge;ATK%;;ATK%;Anemo DMG Bonus;CRIT Rate (Favonius);;;Energy Recharge;CRIT Rate (Favonius);;;;;;275;300;prioritize ER over main stats
51;Faruzan;C6 Support;Recommended Set;Tenacity of the Millelith;;Second Choice;Golden Troupe;;;;;;;;;;;Energy Recharge;ATK%;;Anemo DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;ATK%;;Flat ATK;;175;200;if you cant use tenacity, you can use GT
52;Fischl;Electro Sub DPS;;Golden Troupe;;;;;;;;;;;;;;ATK%;EM (Quicken);;Electro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Energy Recharge;ATK%;EM (Quicken);;Flat ATK;;120;170;EM builds prefer to be used for aggravate but is still valid if spread happens
53;Fischl;Physchl – Physical Main DPS;Recommended Set;Pale Flame;;Second Choice;Pale Flame;Bloodstained Chivalry;;;;;;;;;;ATK%;;;Physical DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;;;Flat ATK;;120;170;Meme build. 4pc pale flame requires maximum Oz uptime. 2pc combination gets better at C1, when played with Oz not on field, ER can also be foregone then
54;Freminet;Physical Main DPS;;Pale Flame;;With Furina;Marechaussee Hunter;;;;;;;;;;;ATK%;Energy Recharge;;Physical DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;;;Flat ATK;;155;195;
55;Freminet;Cryo Main DPS;;Blizzard Strayer;;With Furina;Marechaussee Hunter;;;;;;;;;;;ATK%;Energy Recharge;;Cryo DMG Bonus;;CRIT DMG;CRIT Rate;;Energy Recharge;CRIT DMG;CRIT Rate;ATK%;;Flat ATK;;160;200;Playing with Furina and using MH is the best option for Cryo Freminet. If for some reason you cant/wont pair him with her, use Blizzard Strayer.
56;Furina;Hydro Sub DPS;;Golden Troupe;;;;;;;;;;;;;;HP%;Energy Recharge;;HP%;Hydro DMG Bonus;CRIT Rate/DMG;;;CRIT Rate/DMG;HP%;Energy Recharge;Elemental Mastery;;Flat HP;;150;210;at C6 this build can also be used for an on-field playstyle
57;Furina;Support;;Tenacity of the Millelith;;;;;;;;;;;;;;Energy Recharge;HP%;;HP%;Hydro DMG Bonus;CRIT Rate/DMG;;;Energy Recharge;HP%;CRIT Rate/DMG;;;Flat HP;;150;210;
58;Furina;Healer;;Ocean-Hued Clam;;;;;;;;;;;;;;HP%;Energy Recharge;;HP%;;Healing Bonus;HP%;;HP%;Energy Recharge;Flat HP;;;;;150;210;
59;Gaming;Pyro Main DPS;Recommended Set;Marechaussee Hunter;;For Vape/Melt;Crimson Witch of Flames;;;;;;;;;;;ATK%;EM (Vape/Melt);;Pyro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;EM (Vape/Melt);ATK%;;Flat ATK;;145;190;Crimson Witch is on par with Marechausee
60;Ganyu;Freeze & Mono Cryo DPS;;Blizzard Strayer;;;;;;;;;;;;;;ATK%;;;Cryo DMG Bonus;;CRIT DMG;ATK%;;Energy Recharge;CRIT DMG;ATK%;CRIT Rate;;Flat ATK;;140;170;crit rate not higher on freeze than 45%, or 65% for mono cryo
61;Ganyu;Melt Main DPS;Recommended Set;Wanderer's Troupe;;Second Choice;Shimenawa's Reminiscence;;;;;;;;;;;Elemental Mastery;ATK%;;Cryo DMG Bonus;;CRIT Rate/DMG;;;Elemental Mastery;CRIT Rate/DMG;ATK%;;;Flat ATK;;100;100;
62;Geo Traveler;Geo Sub DPS;Recommended Set;Husk of Opulent Dreams;;Alternative Set;Nighttime Whispers in the Echoing Woods;;Alternative Set;Emblem of Severed Fate;;;;;;;;ATK%;;;Geo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;120;140;
63;Geo Traveler;Support;For ATK Buffs;Noblesse Oblige;;For DMG Buffs;Archaic Petra;;DMG Buff Alternative;Scroll of the Hero of Cinder City;;;;;;;;Energy Recharge;;;Geo DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate (Favonius);ATK%;Flat ATK;CRIT DMG;;;180;220;
64;Gorou;Support;For ATK Buffs;Noblesse Oblige;;For Energy;The Exile;;Third Choice;Husk of Opulent Dreams;Emblem of Severed Fate;;;;;;;Energy Recharge;;;DEF%;Geo DMG Bonus;CRIT Rate (Favonius);DEF%;;Energy Recharge;CRIT Rate (Favonius);DEF%;Flat DEF;;;;220;250;Gorou is a buffer and should not be optimized for his personal damage, instead go for ER, you can even ignore the mainstats if necessary. Finding the right set is tricky cause noblesse is not as helpfulf to def sclaing chars, but the exile is only a 4star. Husk is the least recommended option, but you often have husk from farming for his other team members anyway AND it boosts the healing from C4.
65;Hu Tao;Pyro Main DPS;Recommended Set;Crimson Witch of Flames;;Alternative Set;Shimenawa's Reminiscence;;Alternative Set;Gilded Dreams;;With Furina;Marechaussee Hunter;;;;;Elemental Mastery;HP%;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Elemental Mastery;HP%;ATK%;;Flat HP;Flat ATK;100;110;Shimenawa boosts attacks and charged attacks but means less burst. EM has soft caps that should be reached (see kqm)
66;Hydro Traveler;Support;For ATK Buffs;Noblesse Oblige;;ATK Buff Alternative;Tenacity of the Millelith;;For EM Buffs;Instructor;;;;;;;;Energy Recharge;AKT%;;Hydro DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;ATK%;;Flat ATK;;200;275;[Any character can be a support if you just equip them with Noblesse Oblige and let them burst. Even the Hydro Traveler.] can forgo ER if not holding NO
67;Hydro Traveler;Hydro Main DPS;;Marechaussee Hunter;;;Golden Troupe;;;;;;;;;;;ATK%;EM (Vaporize);;Hydro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;EM (Vaporize);HP%;;Flat ATK;Flat HP;100;100;Personal damage is not the hydro travelers stregth. Due to the clunkiness of the burst, it is not worht investing.
68;Hydro Traveler;Nilou Bloom DPS;Recommended Set;Flower of Paradise Lost;;Alternative Set;Gilded Dreams;;Second Choice;Flower of Paradise Lost;Gilded Dreams;;;;;;;Elemental Mastery;Energy Recharge;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;HP%;Flat HP;;;;200;275;building ER optional, depending on if you want to use the burst for hydro application
69;Jean;Healer/Support;Recommended Set;Viridescent Venerer;;Second Choice;Noblesse Oblige;;Third Choice;Ocean-Hued Clam;;;;;;;;Energy Recharge;ATK%;;ATK%;Anemo DMG Bonus;Healing Bonus;CRIT Rate (Favonius);;Energy Recharge;ATK%;CRIT Rate (Favonius);Elemental Mastery;;Flat ATK;;140;200;VV is best due to resistance shred. If someone else is already using VV, pair it with gladiator to maximize Jean's damage output
70;Jean;Sunfire DPS;;Viridescent Venerer;;;;;;;;;;;;;;Elemental Mastery;Energy Recharge;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;CRIT Rate (Favonius);;;;;160;200;Sunfire abuses the Pyro self-application from Bennett’s Burst, which is Swirled by the Anemo self-application from Jean’s Burst.
71;Kachina;Support;;Scroll of the Hero of Cinder City;;;;;;;;;;;;;;DEF%;;;Geo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;DEF%;Energy Recharge;;;Flat DEF;;100;120;
72;Kaedehara Kazuha;Support;;Viridescent Venerer;;;;;;;;;;;;;;Elemental Mastery;Energy Recharge;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;CRIT Rate (Favonius);;;;;190;215;
73;Kaeya;Melt Sub DPS;For Burnmelt;Unfinished Reverie;;For Melt;Emblem of Severed Fate;;Melt Alternative;Lavawalker;;;;;;;;ATK%;Elemental Mastery;Energy Recharge;Cryo DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;Elemental Mastery;;Flat ATK;;140;220;Burnmelt yields most damage and is therefore preferable playstyle
74;Kaeya;Freeze Sub DPS;Recommended Set;Blizzard Strayer;;;;;;;;;;;;;;ATK%;;;Cryo DMG Bonus;;CRIT DMG;CRIT Rate;;Energy Recharge;ATK%;CRIT DMG;CRIT Rate;;Flat ATK;;115;130;
75;Kamisato Ayaka;Cryo Main DPS;;Blizzard Strayer;;;;;;;;;;;;;;ATK%;;;Cryo DMG Bonus;;CRIT DMG;ATK%;;Energy Recharge;CRIT DMG;CRIT Rate;ATK%;;Flat ATK;;140;160;Amenoma R5 lowers ER to 100-110
76;Kamisato Ayato;Hydro Main DPS;Recommended Set;Echoes of an Offering;;Alternative Set;Heart of Depth;;Alternative Set;Nymph's Dream;;Alternative Set;Gladiator's Finale;;With Furina;Marechaussee Hunter;;ATK%;Energy Recharge;;Hydro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;HP%;;Flat ATK;Flat HP;130;160;ER sands valid in an off-field burst playstyle
